date,consumption
12/19/2022,6024.8
12/20/2022,6047.79
12/21/2022,5074.6
12/22/2022,5070.55
12/23/2022,5052.5
12/24/2022,4020.41
12/25/2022,3567.85
12/26/2022,3527.43
12/27/2022,3597.87
12/28/2022,3570.42
12/29/2022,3519.16
12/30/2022,3555.46
12/31/2022,3547.59
1/1/2023,3580.7
1/2/2023,7428.53
1/3/2023,9345.8
1/4/2023,9261.22
1/5/2023,7291.65
1/6/2023,6441.85
1/7/2023,4176.24
1/8/2023,3610.27
1/9/2023,6593.29
1/10/2023,7502.19
1/11/2023,9903.55
1/12/2023,10555.99
1/13/2023,10659.07
1/14/2023,5583
1/15/2023,4228.17
1/16/2023,10172.4
1/17/2023,11777.67
1/18/2023,11832.03
1/19/2023,11511.36
1/20/2023,12031.11
1/21/2023,5390.4
1/22/2023,3808.54
1/23/2023,10321.31
1/24/2023,11379.3
1/25/2023,11322.05
1/26/2023,11483.22
1/27/2023,10858.84
1/28/2023,5901.71
1/29/2023,4242.13
1/30/2023,9473.25
1/31/2023,11565.69
2/1/2023,11443.97
2/2/2023,11162.7
2/3/2023,10141.69
2/4/2023,5137.14
2/5/2023,3876.42
2/6/2023,10112.89
2/7/2023,10806.36
2/8/2023,10600.78
2/9/2023,11008.36
2/10/2023,10378.59
2/11/2023,4974.03
2/12/2023,3694.11
2/13/2023,9310.72
2/14/2023,11130.19
2/15/2023,11539.25
2/16/2023,11059.5
2/17/2023,10753.1
2/18/2023,5303.62
2/19/2023,3734.78
2/20/2023,3860.07
2/21/2023,3931.43
2/22/2023,4051.23
2/23/2023,4733.19
2/24/2023,5461.26
2/25/2023,4547.48
2/26/2023,4019.31
2/27/2023,10544.22
2/28/2023,12185.01
3/1/2023,11463.77
3/2/2023,11705.97
3/3/2023,11144.82
3/4/2023,5870.69
3/5/2023,4509.95
3/6/2023,9559.39
3/7/2023,11033.54
3/8/2023,9691.75
3/9/2023,10842.05
3/10/2023,10793.61
3/11/2023,4929.72
3/12/2023,3636.54
3/13/2023,8435.64
3/14/2023,10396.88
3/15/2023,10926.25
3/16/2023,11010.05
3/17/2023,10488.61
3/18/2023,5181.08
3/19/2023,3742.88
3/20/2023,9364.68
3/21/2023,11171.7
3/22/2023,10914.07
3/23/2023,10885.87
3/24/2023,10504.86
3/25/2023,5286.53
3/26/2023,3847.7
3/27/2023,9609.73
3/28/2023,10607.68
3/29/2023,9699.89
3/30/2023,9780.06
3/31/2023,10931.95
4/1/2023,3386.33
4/2/2023,3672.26
4/3/2023,7623.83
4/4/2023,8777.6
4/5/2023,8923.52
4/6/2023,9367.05
4/7/2023,5193.42
4/8/2023,3586
4/9/2023,3506.09
4/10/2023,7656.68
4/11/2023,9232.26
4/12/2023,8767.97
4/13/2023,9312.84
4/14/2023,9602.15
4/15/2023,4779.49
4/16/2023,3685.6
4/17/2023,9036.32
4/18/2023,9540.77
4/19/2023,9790.03
4/20/2023,9766.62
4/21/2023,5140.55
4/22/2023,3697.65
4/23/2023,3658.85
4/24/2023,7998.28
4/25/2023,9516
4/26/2023,9126.71
4/27/2023,9278.14
4/28/2023,8385.14
4/29/2023,4467.15
4/30/2023,3360.48
5/1/2023,3424.4
5/2/2023,7906.09
5/3/2023,8965.38
5/4/2023,9417.7
5/5/2023,8647.29
5/6/2023,5027.75
5/7/2023,4304.15
5/8/2023,7770.66
5/9/2023,9233.47
5/10/2023,8270.26
5/11/2023,7331.51
5/12/2023,7380.63
5/13/2023,4889.5
5/14/2023,4222.3
